n,operacion,tiempo_medido
1000,obtener,9.710001904750243e-07
1000,insertar,8.04190003691474e-05
1000,insertar_ordenado,0.00011867600005643908
1000,buscar_lineal,4.721000004792586e-05
1000,buscar_binaria,2.5839999580057338e-06
10000,obtener,4.900002750218846e-07
10000,insertar,0.0009317289996033651
10000,insertar_ordenado,0.0022771110006942763
10000,buscar_lineal,0.00044014100058120675
10000,buscar_binaria,3.0150004022289068e-06
80000,obtener,1.9629997041192837e-06
80000,insertar,0.009350802999506413
80000,insertar_ordenado,0.020528099999864935
80000,buscar_lineal,0.004378292000183137
80000,buscar_binaria,3.424999704293441e-06
200000,obtener,6.910004231031053e-07
200000,insertar,0.016647585000100662
200000,insertar_ordenado,0.050836797000556544
200000,buscar_lineal,0.010578110000096785
200000,buscar_binaria,3.996000486949924e-06
